NativeObjectName,InstanceName,NativeAttributeName,UnitName,ParameterValue,DataStructureName
Dam,LAMONT,YR_COMPL,hour minute,1948,The Major Dams shapfile of the United States
Dam,FOSTER,YR_COMPL,hour minute,1962,The Major Dams shapfile of the United States
Dam,GLENDALE,YR_COMPL,hour minute,1930,The Major Dams shapfile of the United States
Dam,WINDER,YR_COMPL,hour minute,1958,The Major Dams shapfile of the United States
Dam,CROWTHER,YR_COMPL,hour minute,1948,The Major Dams shapfile of the United States
Dam,DEEP CREEK,YR_COMPL,hour minute,1952,The Major Dams shapfile of the United States
Dam,ONEIDA,YR_COMPL,hour minute,1913,The Major Dams shapfile of the United States
Dam,DEVIL CREEK,YR_COMPL,hour minute,1969,The Major Dams shapfile of the United States
Dam,DANIELS,YR_COMPL,hour minute,1967,The Major Dams shapfile of the United States
Dam,MONTPELIER CREEK,YR_COMPL,hour minute,1971,The Major Dams shapfile of the United States
Dam,SODA,YR_COMPL,hour minute,1925,The Major Dams shapfile of the United States
Dam,LAMONT,NID_HEIGHT,international foot,65,The Major Dams shapfile of the United States
Dam,FOSTER,NID_HEIGHT,international foot,65,The Major Dams shapfile of the United States
Dam,GLENDALE,NID_HEIGHT,international foot,69,The Major Dams shapfile of the United States
Dam,WINDER,NID_HEIGHT,international foot,53,The Major Dams shapfile of the United States
Dam,CROWTHER,NID_HEIGHT,international foot,85,The Major Dams shapfile of the United States
Dam,DEEP CREEK,NID_HEIGHT,international foot,81,The Major Dams shapfile of the United States
Dam,ONEIDA,NID_HEIGHT,international foot,102,The Major Dams shapfile of the United States
Dam,DEVIL CREEK,NID_HEIGHT,international foot,73,The Major Dams shapfile of the United States
Dam,DANIELS,NID_HEIGHT,international foot,82,The Major Dams shapfile of the United States
Dam,MONTPELIER CREEK,NID_HEIGHT,international foot,73,The Major Dams shapfile of the United States
Dam,SODA,NID_HEIGHT,international foot,94,The Major Dams shapfile of the United States
Dam,LAMONT,MAX_STOR,acre foot,2408,The Major Dams shapfile of the United States
Dam,FOSTER,MAX_STOR,acre foot,3355,The Major Dams shapfile of the United States
Dam,GLENDALE,MAX_STOR,acre foot,6000,The Major Dams shapfile of the United States
Dam,WINDER,MAX_STOR,acre foot,2000,The Major Dams shapfile of the United States
Dam,CROWTHER,MAX_STOR,acre foot,959,The Major Dams shapfile of the United States
Dam,DEEP CREEK,MAX_STOR,acre foot,4140,The Major Dams shapfile of the United States
Dam,ONEIDA,MAX_STOR,acre foot,11400,The Major Dams shapfile of the United States
Dam,DEVIL CREEK,MAX_STOR,acre foot,4464,The Major Dams shapfile of the United States
Dam,DANIELS,MAX_STOR,acre foot,8700,The Major Dams shapfile of the United States
Dam,MONTPELIER CREEK,MAX_STOR,acre foot,3840,The Major Dams shapfile of the United States
Dam,SODA,MAX_STOR,acre foot,15760,The Major Dams shapfile of the United States
Dam,LAMONT,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,FOSTER,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,GLENDALE,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,WINDER,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,CROWTHER,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,DEEP CREEK,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,ONEIDA,NORMAL_STO,acre foot,10600,The Major Dams shapfile of the United States
Dam,DEVIL CREEK,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,DANIELS,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,MONTPELIER CREEK,NORMAL_STO,acre foot,0,The Major Dams shapfile of the United States
Dam,SODA,NORMAL_STO,acre foot,15200,The Major Dams shapfile of the United States
Dam,LAMONT,SURF_AREA,acre,92,The Major Dams shapfile of the United States
Dam,FOSTER,SURF_AREA,acre,145,The Major Dams shapfile of the United States
Dam,GLENDALE,SURF_AREA,acre,230,The Major Dams shapfile of the United States
Dam,WINDER,SURF_AREA,acre,96,The Major Dams shapfile of the United States
Dam,CROWTHER,SURF_AREA,acre,33,The Major Dams shapfile of the United States
Dam,DEEP CREEK,SURF_AREA,acre,180,The Major Dams shapfile of the United States
Dam,ONEIDA,SURF_AREA,acre,480,The Major Dams shapfile of the United States
Dam,DEVIL CREEK,SURF_AREA,acre,142,The Major Dams shapfile of the United States
Dam,DANIELS,SURF_AREA,acre,375,The Major Dams shapfile of the United States
Dam,MONTPELIER CREEK,SURF_AREA,acre,120,The Major Dams shapfile of the United States
Dam,SODA,SURF_AREA,acre,1223,The Major Dams shapfile of the United States
Dam,LAMONT,DRAIN_AREA,acre,0.3,The Major Dams shapfile of the United States
Dam,FOSTER,DRAIN_AREA,acre,1.2,The Major Dams shapfile of the United States
Dam,GLENDALE,DRAIN_AREA,acre,15.2,The Major Dams shapfile of the United States
Dam,WINDER,DRAIN_AREA,acre,1.1,The Major Dams shapfile of the United States
Dam,CROWTHER,DRAIN_AREA,acre,1.2,The Major Dams shapfile of the United States
Dam,DEEP CREEK,DRAIN_AREA,acre,29.7,The Major Dams shapfile of the United States
Dam,ONEIDA,DRAIN_AREA,acre,4456,The Major Dams shapfile of the United States
