InstanceName,NativeAttributeName,AggregationStatisticCV,IntervalTimeUnitName,AggregationInterval,SourceName,ScenarioName,UnitName,Value
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1967,419.2715054
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1968,827.483871
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1969,1157.143817
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1970,798.2096774
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1971,1131.935484
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1972,1462.245968
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1973,1466.149194
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1974,1157.143817
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1975,1082.00672
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1976,1221.547043
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1977,1101.197581
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1978,381.8655914
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1979,420.2473118
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1980,554.7459677
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1981,906.5241935
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1982,453.4247312
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1983,1472.65457
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1984,1871.922043
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1985,1561.94086
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1986,1278.956989
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1987,1209.349462
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1988,405.7728495
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1989,349.0134409
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1990,466.1102151
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1991,393.5752688
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1992,303.9637097
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1993,260.8655914
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1994,427.7284946
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1995,405.6102151
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1996,298.5967742
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1997,649.8870968
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1998,1270.337366
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/1999,1012.236559
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/2000,951.5739247
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,1/1/2001,381.2150538
