MappingID4,ScenarioID4,MappingID5,ScenarioID5
"781980","4",,
"781984","4",,
"781988","4",,
"781992","4",,
"781996","4",,
"782000","4",,
"782004","4",,
"782008","4",,
"782012","4",,
"782016","4",,
"782020","4",,
"782024","4",,
"782028","4",,
"782032","4",,
"782036","4",,
"782040","4",,
"782044","4",,
"782048","4",,
"782052","4",,
"782056","4",,
"782060","4",,
"782064","4",,
"782068","4",,
"782072","4",,
"782076","4",,
"782080","4",,
"782084","4",,
"782088","4",,
"782092","4",,
"782096","4",,
"782100","4",,
"782204","4",,
"782265","4",,
"782274","4",,
"782280","4",,
"782296","4",,
"782305","4",,
"782311","4",,
"782327","4",,
"782336","4",,
"782342","4",,
"782358","4",,
"782367","4",,
"782373","4",,
"782389","4",,
"782398","4",,
"782404","4",,
"782420","4",,
"782429","4",,
"782435","4",,
"782451","4",,
"782460","4",,
"782466","4",,
"782482","4",,
"782491","4",,
"782497","4",,
"782513","4",,
"782522","4",,
"782528","4",,
"782544","4",,
"782553","4",,
"782559","4",,
"782575","4",,
"782584","4",,
"782590","4",,
,,"783369","5"
,,"783370","5"
,,"783371","5"
,,"783372","5"
,,"783373","5"
,,"783374","5"
,,"783375","5"
,,"783376","5"
,,"783377","5"
,,"783378","5"
,,"783379","5"
,,"783380","5"
,,"783381","5"
,,"783382","5"
,,"783383","5"
,,"783384","5"
,,"783385","5"
,,"783386","5"
,,"783387","5"
,,"783388","5"
,,"783389","5"
,,"783390","5"
,,"783391","5"
,,"783392","5"
,,"783393","5"
,,"783394","5"
,,"783395","5"
,,"783396","5"
,,"783397","5"
,,"783398","5"
,,"783399","5"
,,"783400","5"
,,"783401","5"
,,"783402","5"
,,"783403","5"
